rt_id,who_was_rt,content_of_rt
1255523501613682690,danimontpsol,"Presidente: Ministro Nelson Teich vai recomendar retomada de jogos de futebol.
Os estádios de futebol: https://t.co/rFLb0UyiAc"
1255572698123472901,YahooBr,"Brasil tem maior taxa de contágio por coronavírus do mundo, aponta estudo https://t.co/VwS454Idfz"
1255583884290465793,g1,Bolsonaro diz que governadores e prefeitos devem ser cobrados por mortes e critica isolamento com declaração que vai na contramão de estudos científicos =&gt; https://t.co/FI1L1JOMmj #G1 https://t.co/jye9SOPUNO
1255492982389735430,paulomoreria,"quarentena dia 45: se tivesse que por um nome de remédio pro teu filho/filha, que nome tu escolheria?"
1255564978511319040,oatila,"Se faltam equipamentos de proteção, precisam trabalhar em péssimas condições, se afastar da família, arriscar a vida e quando olham pra fora vêem a displicência com que todos os outros tratam de COVID-19 e o desprezo pelo trabalho deles, fica cada vez mais difícil trabalharem. https://t.co/KYszxsSXIl"
1255483821698490370,GeorgMarques,"Jornalistas que debocharam e criticaram eficácia do isolamento social deram positivo para o covid19: Sikêra Jr e Caio Coppolla, ambos abraçaram a narrativa anticiência e mortífera de Bolsonaro. Agora estão isolados tratando da doença. Espero que se recuperem e aprendam a lição. https://t.co/Vm4Ek3LVxk"
1255590313613238274,MarceloPintoBA,"Produção de cloroquina pelo Exército aumenta 80 vezes, mesmo sem conclusão de sua eficácia contra a covid-19 via @elpais_brasil https://t.co/uHgzQXOFWO"
1255568410802630657,minc_rj,"BolsoVirus rejeita pedido de ajuda dos Agentes Funerários de Manaus. Não é comigo. E daí? Não sou coveiro. É sim o coveiro da Democracia e da Nação. Não é solidário aos profissionais da Saúde e aos bravos agentes funerários. Renuncie deste governo medíocre, insano tirano.! https://t.co/pTdoUfbno2"
1255487266199306242,CarlaPola,"As mortes por Coronavírus estão na tua conta sim, @jairbolsonaro.

Mau exemplo e indiferença, fez com que muitas pessoas saíssem do isolamento e muitas já estão morrendo, seu lixo sociopata.

“Não adianta a imprensa botar na minha conta essas questões, que não cabem a mim”"
1255588963831689218,delucca,"Vocês lembram que Bolsonaro disse que mandou o Laboratório do Exército fabricar cloroquina desesperadamente, mesmo sem saber se ele era eficaz contra o coronavírus? Pois é, agora estão produzindo 80 vezes mais e Bolsonaro nem fala mais sobre o assunto.

https://t.co/uzYW7Adl3r"
1255588963831689218,delucca,"Vocês lembram que Bolsonaro disse que mandou o Laboratório do Exército fabricar cloroquina desesperadamente, mesmo sem saber se ele era eficaz contra o coronavírus? Pois é, agora estão produzindo 80 vezes mais e Bolsonaro nem fala mais sobre o assunto.

https://t.co/uzYW7Adl3r"
1255586271063420931,VictorGonz_77,@wilsonwitzel https://t.co/OrywrO4Wvu
1255549494667640834,MinEconomia,"“O Brasil tem ativos imobiliários que chegam a mais de R$ 1 trilhão de valor. Se acelerarmos a venda de imóveis, podemos reduzir bastante a dívida pública”, defende o ministro Paulo Guedes .Saiba mais: https://t.co/TSAtqMHKSK https://t.co/lSFp6cbnUs"
